,0,1,2,3,4,5
Sample343,0.041197255290868,0.06315859859311326,9.999981449771571e-07,0.8955265226279638,0.00011562349176507526,9.999981449771571e-07
Sample353,0.09639908872434934,0.039094272032613175,0.32553128090146294,0.4625114984117525,0.05240818504998641,0.024055674879835634
Sample371,9.999990010519005e-07,0.013080493594427332,0.045659020364809545,0.9198968917641945,0.021182560736918106,0.00018003354064952695
Sample387,7.94764210973648e-06,0.016032384953018702,0.20314280534812648,0.774709083197334,0.006098857986644404,8.920872766757422e-06
Sample409,0.01071902731935462,0.01118752280359584,0.1274826571613898,0.8505885757117894,9.999990057885591e-07,2.1217004864576265e-05
Sample416,0.010199421420120498,0.02504003013969136,9.99998004924242e-07,0.38989238732247367,9.99998004924242e-07,0.5748661611217046
Sample424,0.5226019931892432,0.040033977096293485,0.26131389633582996,0.16815962023753828,0.007889513142014493,9.999990807769344e-07
Sample427,0.12446664282363935,0.04369105868470453,1.822453860593598e-05,0.8004044356375238,0.030791503251229882,0.0006281350642964329
Sample454,0.2626195131910169,0.059835883020600125,9.999990000034755e-07,0.6733196953778293,0.004160508584779057,6.339982677460769e-05
Sample477,0.00021175046371907662,0.03052957370146275,0.000565295665789067,0.9510953091245206,0.017597071045508644,9.999990000010265e-07
Sample482,0.00045445176053114856,0.051121805669881386,6.3424758150771e-05,0.9478875092573698,9.999999917056395e-07,0.0004718085540752599
Sample491,0.016510683625760518,0.1522104212884337,9.999990022730203e-07,0.8261700612893065,0.005105325010991108,2.5087865059446506e-06
Sample495,3.0007588483199748e-05,9.999987527885581e-07,0.20758767006054601,0.7839907652890484,0.00838955706441677,9.999987527885581e-07
Sample507,0.999978544212735,9.999982000762577e-07,1.3815491513520103e-05,4.371022225408437e-06,1.2692771260537916e-06,9.999982000762577e-07
Sample509,0.0010170095936131397,0.051394607702317956,0.0390605048110003,0.902821253644984,0.005694913880371611,1.1710367713039237e-05
Sample512,0.04539573296434224,0.04017983123891827,0.021615743074001704,0.8767263491990197,0.016058205397488635,2.4138126229523716e-05
Sample522,0.0016370861409595277,0.02389999832520603,0.06097112396083281,0.9058094470258208,0.007653967973064479,2.8376574116409826e-05
Sample548,0.04948276150708573,0.9497605245234031,0.0005169159557463483,9.999980002252169e-07,0.00023779801776433018,9.999980002252169e-07
Sample564,0.00012953063536847703,0.01661926271799301,0.11897700367861064,0.6710115620783964,0.027906303527202525,0.16535633736242902
Sample609,0.08143651245105558,0.1439303284287394,9.999992825792506e-07,0.7717645147619955,0.0027729778811707837,9.46664777559679e-05
Sample616,9.99999000050067e-07,0.026435471922376413,0.21533071470920198,0.5455684291076103,0.008658745135886506,0.20400563912592484
Sample620,0.20692514970959816,0.019898690905058757,0.021019308760226993,0.7489241726156031,0.0032316780105091612,9.999990038782864e-07
Sample624,0.028761097097840395,0.01512022477980694,0.02149079328595945,0.19465835092736133,0.024202436104249322,0.7157670978047826
Sample631,0.208925646325179,0.00015928626974379153,0.04060246380517196,0.6841188510219114,0.0655705921578637,0.000623160420130216
Sample687,9.999990000009998e-07,0.0270691018427601,0.10061610022877272,0.8712840371484163,1.4180236485073135e-05,0.0010155805445658482
Sample710,0.28275375174312234,0.10118594352228266,0.00015138795665349292,0.615906916781939,9.999980012646159e-07,9.999980012646159e-07
Sample712,0.23434821589584368,0.16384581912854404,4.665730422934098e-06,0.6003494036394263,0.00021282008966937358,0.0012390755160936113
Sample717,0.4856671798151043,9.999981720554022e-07,0.27824996932307966,0.2360668893424119,9.999981720554022e-07,1.3961523059888353e-05
Sample733,0.0008834437286433852,0.0279497007420001,0.11268346480348734,0.7716734774233175,9.999998721338193e-07,0.08680891330267951
Sample746,0.5133077796333028,9.842305028653855e-05,9.999990000260822e-07,0.4810334327617796,0.005435426391828146,0.0001239381638029875
Sample759,0.04382935159316348,0.052369439377227156,9.999988077417118e-07,0.9035356174734817,0.00026359155851234236,9.999988077417118e-07
Sample767,0.0008606349341366657,0.0011767424464402111,0.010703563830387168,0.9441013118385816,0.04315674695121201,9.99999242403002e-07
Sample803,9.999980003369344e-07,8.862587259394162e-06,0.02991498466803919,0.9627863776351683,0.007287775113532399,9.999980003369344e-07
Sample812,0.11917788017549825,9.999991051455279e-07,0.07694989288248509,0.7976527962066797,0.004025334471421819,0.0021930962648099694
Sample827,0.1072866406195115,0.012785347500296319,9.999986791308358e-07,0.8684051505847342,0.011520861298099769,9.999986791308358e-07
Sample838,0.13976314207466786,3.9617605950616036e-05,9.999990134862628e-07,0.844997606444822,0.015197054569749246,1.579305796739005e-06
Sample853,0.10551105333558145,0.013065775439692291,5.828970998519261e-06,0.8571416352831229,0.023810209842817922,0.00046549712778689906
Sample868,4.453543694764411e-05,2.5782747878000142e-06,0.11522322547946368,0.8847123858368784,1.627497291893358e-05,9.999990034402007e-07
Sample871,5.434549324795745e-05,0.1727738964551735,0.2077565268786635,0.5140207409877448,0.1053934901861703,9.99999000001e-07
Sample872,0.0006473480342217943,9.999980002035148e-07,0.9992401034799788,6.327952625346531e-05,9.999980002035148e-07,4.72689635455196e-05
Sample882,0.0003590581451555481,0.15921484816831613,6.092929899044199e-05,0.768603119354481,0.07176104503405618,9.999990006577725e-07
Sample904,0.026138850231035803,0.012200362790362988,0.16841477402025404,0.05303980644955556,0.0010253361280339606,0.7391808703807576
Sample906,9.99999029298187e-07,0.1465338833752162,0.02520260430528417,0.8280140715813483,0.0002447260141630405,3.7147249588644737e-06
Sample919,9.999980462149904e-07,9.999980462149904e-07,0.00031550461352502655,0.9985736493015153,0.0011078460908209963,9.999980462149904e-07
Sample943,9.99999340011196e-07,0.05068198805991021,9.99999340011196e-07,0.9467552507927699,0.00024621334045133196,0.0023145478081885336
Sample961,0.3471981449800833,0.05223116255497595,9.999990000010003e-07,0.5922568286139634,0.00824091825281942,7.194559915787017e-05
Sample983,0.0009560771734730075,0.07050991333109274,9.99999000024396e-07,0.7508456521697553,0.013287993763939628,0.16439936356273932
