Sample,Time,Type,Reactor,Depth,Port
S438,01-Oct,Mig-wk1,R2,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S438_R1.fastq,http://admetareads.s3.climb.ac.uk/S438_R2.fastq
S440,01-Oct,Mig-wk1,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S440_R1.fastq,http://admetareads.s3.climb.ac.uk/S440_R2.fastq
S443,01-Oct,Mig-wk1,R3,Top,P5,http://admetareads.s3.climb.ac.uk/S443_R1.fastq,http://admetareads.s3.climb.ac.uk/S443_R2.fastq
S369,07-Oct,Mig-wk2,R1,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S369_R1.fastq,http://admetareads.s3.climb.ac.uk/S369_R2.fastq
S372,07-Oct,Mig-wk2,R1,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S372_R1.fastq,http://admetareads.s3.climb.ac.uk/S372_R2.fastq
S374,07-Oct,Mig-wk2,R2,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S374_R1.fastq,http://admetareads.s3.climb.ac.uk/S374_R2.fastq
S377,07-Oct,Mig-wk2,R2,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S377_R1.fastq,http://admetareads.s3.climb.ac.uk/S377_R2.fastq
S379,07-Oct,Mig-wk2,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S379_R1.fastq,http://admetareads.s3.climb.ac.uk/S379_R2.fastq
S382,07-Oct,Mig-wk2,R3,Top,P5,http://admetareads.s3.climb.ac.uk/S382_R1.fastq,http://admetareads.s3.climb.ac.uk/S382_R2.fastq
S415,16-Oct,Mig-wk3,R1,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S415_R1.fastq,http://admetareads.s3.climb.ac.uk/S415_R2.fastq
S418,16-Oct,Mig-wk3,R1,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S418_R1.fastq,http://admetareads.s3.climb.ac.uk/S418_R2.fastq
S420,16-Oct,Mig-wk3,R2,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S420_R1.fastq,http://admetareads.s3.climb.ac.uk/S420_R2.fastq
S423,16-Oct,Mig-wk3,R2,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S423_R1.fastq,http://admetareads.s3.climb.ac.uk/S423_R2.fastq
S425,16-Oct,Mig-wk3,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S425_R1.fastq,http://admetareads.s3.climb.ac.uk/S425_R2.fastq
S429,16-Oct,Mig-wk3,R3,Top,P5,http://admetareads.s3.climb.ac.uk/S429_R1.fastq,http://admetareads.s3.climb.ac.uk/S429_R2.fastq
S585,16-Sep,substrate,T1,http://admetareads.s3.climb.ac.uk/S585_R1.fastq,http://admetareads.s3.climb.ac.uk/S585_R2.fastq
S520,23-Sep,substrate,T1,http://admetareads.s3.climb.ac.uk/S520_R1.fastq,http://admetareads.s3.climb.ac.uk/S520_R2.fastq
S560,08-Oct,substrate,T1,http://admetareads.s3.climb.ac.uk/S560_R1.fastq,http://admetareads.s3.climb.ac.uk/S560_R2.fastq
S589,16-Oct,substrate,T1,http://admetareads.s3.climb.ac.uk/S589_R1.fastq,http://admetareads.s3.climb.ac.uk/S589_R2.fastq
S524,23-Sep,Influent,R4-INF,Bottom,P1,http://admetareads.s3.climb.ac.uk/S524_R1.fastq,http://admetareads.s3.climb.ac.uk/S524_R2.fastq
S525,23-Sep,Influent,R4-INF,Top,P7,http://admetareads.s3.climb.ac.uk/S525_R1.fastq,http://admetareads.s3.climb.ac.uk/S525_R2.fastq
S529,,Influent,R4-IN-WK1,http://admetareads.s3.climb.ac.uk/S529_R1.fastq,http://admetareads.s3.climb.ac.uk/S529_R2.fastq
S542,,Influent,R4-IN-WK2,http://admetareads.s3.climb.ac.uk/S542_R1.fastq,http://admetareads.s3.climb.ac.uk/S542_R2.fastq
S564,,Influent,R4-IN-WK3,http://admetareads.s3.climb.ac.uk/S564_R1.fastq,http://admetareads.s3.climb.ac.uk/S564_R2.fastq
S521,23-Sep,Effluents,R1-EFF,http://admetareads.s3.climb.ac.uk/S521_R1.fastq,http://admetareads.s3.climb.ac.uk/S521_R2.fastq
S526,,Effluents,R1-EFF-WK1,http://admetareads.s3.climb.ac.uk/S526_R1.fastq,http://admetareads.s3.climb.ac.uk/S526_R2.fastq
S544,,Effluents,R1-EFF-WK2,http://admetareads.s3.climb.ac.uk/S544_R1.fastq,http://admetareads.s3.climb.ac.uk/S544_R2.fastq
S565,,Effluents,R1-EFF-WK3,http://admetareads.s3.climb.ac.uk/S565_R1.fastq,http://admetareads.s3.climb.ac.uk/S565_R2.fastq
S522,23-Sep,Effluents,R2-EFF,http://admetareads.s3.climb.ac.uk/S522_R1.fastq,http://admetareads.s3.climb.ac.uk/S522_R2.fastq
S527,,Effluents,R2-EFF-WK1,http://admetareads.s3.climb.ac.uk/S527_R1.fastq,http://admetareads.s3.climb.ac.uk/S527_R2.fastq
S545,,Effluents,R2-EFF-WK2,http://admetareads.s3.climb.ac.uk/S545_R1.fastq,http://admetareads.s3.climb.ac.uk/S545_R2.fastq
S566,,Effluents,R2-EFF-WK3,http://admetareads.s3.climb.ac.uk/S566_R1.fastq,http://admetareads.s3.climb.ac.uk/S566_R2.fastq
S523,23-Sep,Effluents,R3-EFF,http://admetareads.s3.climb.ac.uk/S523_R1.fastq,http://admetareads.s3.climb.ac.uk/S523_R2.fastq
S528,,Effluents,R3-EFF-WK1,http://admetareads.s3.climb.ac.uk/S528_R1.fastq,http://admetareads.s3.climb.ac.uk/S528_R2.fastq
S546,,Effluents,R3-EFF-WK2,http://admetareads.s3.climb.ac.uk/S546_R1.fastq,http://admetareads.s3.climb.ac.uk/S546_R2.fastq
S567,,Effluents,R3-EFF-WK3,http://admetareads.s3.climb.ac.uk/S567_R1.fastq,http://admetareads.s3.climb.ac.uk/S567_R2.fastq
S635,T=0,inoculum,Full-scale,http://admetareads.s3.climb.ac.uk/S635_R1.fastq,http://admetareads.s3.climb.ac.uk/S635_R2.fastq
S645,T=-1,inoculum,Full-scale,http://admetareads.s3.climb.ac.uk/S645_R1.fastq,http://admetareads.s3.climb.ac.uk/S645_R2.fastq
Blank,,Blank,PCR water,http://admetareads.s3.climb.ac.uk/Sblank_R1.fastq,http://admetareads.s3.climb.ac.uk/Sblank_R2.fastq
